2025-07-22 17:05:18,499 - rfid_reader - DEBUG - Attempting to initialize RFID reader...
2025-07-22 17:05:18,575 - rfid_reader - DEBUG - [RFID Reader Initialized] Device is active.
2025-07-22 17:05:18,575 - rfid_reader - DEBUG - [RFID Reader Running] Reading loop started.
2025-07-22 17:05:18,575 - rfid_reader - DEBUG - RFID reader thread started successfully
2025-07-22 17:05:18,590 - rfid_reader - DEBUG - Tag sender thread started successfully
2025-07-22 17:05:51,292 - rfid_reader - DEBUG - Exiting application via system tray
2025-07-22 17:06:06,598 - rfid_reader - DEBUG - Attempting to initialize RFID reader...
2025-07-22 17:06:06,675 - rfid_reader - DEBUG - [RFID Reader Initialized] Device is active.
2025-07-22 17:06:06,675 - rfid_reader - DEBUG - [RFID Reader Running] Reading loop started.
2025-07-22 17:06:06,676 - rfid_reader - DEBUG - RFID reader thread started successfully
2025-07-22 17:06:06,690 - rfid_reader - DEBUG - Tag sender thread started successfully
2025-07-22 17:06:09,677 - rfid_reader - DEBUG - Opening credential UI via system tray
2025-07-22 17:06:46,170 - rfid_reader - DEBUG - UI closed without submitting credentials
2025-07-22 17:06:46,186 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:46,287 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:46,388 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:46,489 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:46,590 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:46,691 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:46,791 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:46,892 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:46,992 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:47,093 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:47,194 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:47,295 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:47,396 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:47,496 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:47,597 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:47,698 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:47,799 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:47,900 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,001 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,101 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,202 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,303 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,403 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,504 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,605 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,705 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,806 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:48,907 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,008 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,109 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,210 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,310 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,412 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,513 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,614 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,714 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,815 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:49,916 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:50,017 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:50,117 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-22 17:06:50,218 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
