2025-07-23 06:51:05,052 - rfid_reader - DEBUG - Attempting to initialize RFID reader...
2025-07-23 06:51:05,066 - rfid_reader - DEBUG - Failed to initialize RFID reader: No USB device found. Application will exit.
2025-07-23 06:51:05,066 - rfid_reader - DEBUG - Exiting application via system tray
2025-07-23 06:51:38,636 - rfid_reader - DEBUG - Attempting to initialize RFID reader...
2025-07-23 06:51:38,728 - rfid_reader - DEBUG - [RFID Reader Initialized] Device is active.
2025-07-23 06:51:38,728 - rfid_reader - DEBUG - [RFID Reader Running] Reading loop started.
2025-07-23 06:51:38,730 - rfid_reader - DEBUG - RFID reader thread started successfully
2025-07-23 06:51:38,743 - rfid_reader - DEBUG - Tag sender thread started successfully
2025-07-23 06:52:04,735 - rfid_reader - DEBUG - Opening credential UI via system tray
2025-07-23 06:53:46,864 - rfid_reader - DEBUG - UI closed without submitting credentials
2025-07-23 06:53:46,879 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:46,980 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,081 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,181 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,282 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,383 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,483 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,584 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,685 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,786 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,887 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:47,987 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,088 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,188 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,289 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,389 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,490 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,590 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,691 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,792 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,892 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:48,993 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:49,094 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:49,195 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:49,295 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:49,396 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:49,497 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:49,598 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:49,698 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:49,799 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:49,900 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,001 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,101 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,202 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,303 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,403 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,504 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,605 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,706 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,807 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:50,908 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:51,008 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:51,109 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:51,210 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:51,311 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:51,412 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:51,513 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:51,614 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
2025-07-23 06:53:51,715 - rfid_reader - DEBUG - Authentication invalid, waiting for re-authentication
